"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1","IGFBP5.2",3.0237491204843e-298,1.52834675369867,0.456,0.258,7.79250385840009e-294,"hCT","IGFBP5"
"2","COL1A2.2",0,1.40125971857322,0.958,0.696,0,"hCT","COL1A2"
"3","COL1A1.2",0,1.21673821451453,0.737,0.448,0,"hCT","COL1A1"
"4","CXCL12.2",0,1.18093087645309,0.514,0.235,0,"hCT","CXCL12"
"5","AKAP12.1",1.50904511882602e-280,1.1256728347748,0.413,0.236,3.88896017572652e-276,"hCT","AKAP12"
"6","COL3A1.1",0,1.10577679875619,0.841,0.596,0,"hCT","COL3A1"
"7","SFRP1.2",0,1.10257193122767,0.522,0.228,0,"hCT","SFRP1"
"8","LGALS1.2",0,1.08561356024749,0.733,0.503,0,"hCT","LGALS1"
"9","PDGFRA.2",0,0.985823756545629,0.679,0.389,0,"hCT","PDGFRA"
"10","EBF2.2",0,0.964137456711454,0.436,0.137,0,"hCT","EBF2"
"11","OGN.1",7.79302297403858e-137,0.959308345653296,0.297,0.173,2.00833995063948e-132,"hCT","OGN"
"12","CYP1B1.1",6.3054725903238e-308,0.948807576788789,0.248,0.085,1.62498334125235e-303,"hCT","CYP1B1"
"13","CDH11.2",0,0.900339456116935,0.602,0.301,0,"hCT","CDH11"
"14","SLC1A3.2",0,0.891851712832689,0.329,0.136,0,"hCT","SLC1A3"
"15","GJA1.2",0,0.862796678449549,0.4,0.193,0,"hCT","GJA1"
"16","IFITM3.1",0,0.860511449527507,0.894,0.653,0,"hCT","IFITM3"
"17","VCAN.1",6.12878987908673e-285,0.8297538661788,0.836,0.745,1.57945043973944e-280,"hCT","VCAN"
"18","ZIC2.2",1.07753357775526e-287,0.803694818913429,0.372,0.191,2.77691178323309e-283,"hCT","ZIC2"
"19","MDK.2",0,0.803585648281794,1,0.955,0,"hCT","MDK"
"20","CRABP2.2",0,0.787170362556115,0.525,0.271,0,"hCT","CRABP2"
"21","PRRX1.2",0,0.785031811900507,0.328,0.09,0,"hCT","PRRX1"
"22","PCOLCE.2",0,0.77172424525654,0.863,0.616,0,"hCT","PCOLCE"
"23","EPHA3.2",1.73324974688498e-303,0.758986399674017,0.35,0.165,4.46675792269727e-299,"hCT","EPHA3"
"24","MIR100HG.1",0,0.756608565557105,0.694,0.444,0,"hCT","MIR100HG"
"25","IFITM2.1",0,0.740835267007555,0.692,0.443,0,"hCT","IFITM2"
"26","PCDH18.2",0,0.739250805260792,0.516,0.266,0,"hCT","PCDH18"
"27","COL6A3.2",0,0.737875462927646,0.488,0.272,0,"hCT","COL6A3"
"28","FRZB.1",2.94851913285753e-220,0.7340896124499,0.354,0.195,7.59862865728715e-216,"hCT","FRZB"
"29","SHISA3.2",0,0.72944629201075,0.248,0.072,0,"hCT","SHISA3"
"30","S100A11.2",0,0.722260460450766,0.846,0.707,0,"hCT","S100A11"
"31","FSTL1.2",0,0.717569911294943,0.732,0.515,0,"hCT","FSTL1"
"32","NFIB.2",0,0.717465744898014,0.625,0.425,0,"hCT","NFIB"
"33","OLFML3.2",0,0.712527711619553,0.445,0.211,0,"hCT","OLFML3"
"34","TAGLN.1",7.88620491760138e-226,0.697788896854728,0.28,0.129,2.03235386931505e-221,"hCT","TAGLN"
"35","COL4A2.2",5.21900444934737e-278,0.686068613924414,0.561,0.38,1.34498963664131e-273,"hCT","COL4A2"
"36","LRRC17.1",0,0.680418202920338,0.465,0.236,0,"hCT","LRRC17"
"37","TWIST1.1",0,0.679259222906362,0.784,0.6,0,"hCT","TWIST1"
"38","IL11RA.2",0,0.672788162631635,0.572,0.321,0,"hCT","IL11RA"
"39","COL4A1.1",3.86215362047353e-146,0.658987709798663,0.317,0.193,9.95315609532232e-142,"hCT","COL4A1"
"40","MARCKS.2",0,0.658436649384355,0.987,0.951,0,"hCT","MARCKS"
"41","COL12A1.2",0,0.654113283227974,0.331,0.132,0,"hCT","COL12A1"
"42","EBF3.2",0,0.652214924920354,0.402,0.212,0,"hCT","EBF3"
"43","APCDD1.2",2.32177800121362e-297,0.647063004450824,0.287,0.115,5.98345408692763e-293,"hCT","APCDD1"
"44","ZIC1.2",1.48500014802627e-197,0.643922334854152,0.416,0.272,3.8269938814785e-193,"hCT","ZIC1"
"45","CD81.1",0,0.63865492339962,0.943,0.84,0,"hCT","CD81"
"46","TGFBI.1",0,0.637245966570678,0.507,0.285,0,"hCT","TGFBI"
"47","TSC22D1.1",0,0.635777576306984,0.845,0.742,0,"hCT","TSC22D1"
"48","EDNRA.2",0,0.630407310452563,0.313,0.108,0,"hCT","EDNRA"
"49","CDC42EP5.1",0,0.628421645962854,0.854,0.625,0,"hCT","CDC42EP5"
"50","FBN2.2",5.91392224217751e-303,0.62680293062138,0.583,0.396,1.52407690103157e-298,"hCT","FBN2"
"51","FOS.2",4.80079377661104e-257,0.625610781954487,0.616,0.437,1.23721256417043e-252,"hCT","FOS"
"52","CTSC.2",8.3466431487852e-220,0.625398960144474,0.327,0.173,2.15101340587343e-215,"hCT","CTSC"
"53","IFI44L.2",0,0.620251282292835,0.253,0.077,0,"hCT","IFI44L"
"54","APOE.2",5.97679653209868e-279,0.61858182132401,0.391,0.208,1.54028023428715e-274,"hCT","APOE"
"55","BOC.2",0,0.61775192141944,0.333,0.119,0,"hCT","BOC"
"56","SERPINF1.1",0,0.61298386041137,0.34,0.105,0,"hCT","SERPINF1"
"57","HOXA10.2",3.64094632674496e-203,0.609682531274541,0.438,0.286,9.38308277865443e-199,"hCT","HOXA10"
