"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SPON1",0,6.03900666678917,0.596,0.258,0,"Neuromesodermal progenitors","SPON1"
"CD82",0,3.1833923181526,0.462,0.16,0,"Neuromesodermal progenitors","CD82"
"HOXB4",0,2.31909460553462,0.603,0.29,0,"Neuromesodermal progenitors","HOXB4"
"AC023794.1",0,1.8778649939376,0.437,0.123,0,"Neuromesodermal progenitors","AC023794.1"
"HOXB9",0,1.71584312191261,0.697,0.206,0,"Neuromesodermal progenitors","HOXB9"
"RPS4Y1",0,1.52212996668801,0.614,0.338,0,"Neuromesodermal progenitors","RPS4Y1"
"PA2G4",0,1.47800632398989,0.74,0.363,0,"Neuromesodermal progenitors","PA2G4"
"NME1",0,1.3709353050037,0.731,0.351,0,"Neuromesodermal progenitors","NME1"
"PTPRZ1",0,1.35936971682432,0.572,0.273,0,"Neuromesodermal progenitors","PTPRZ1"
"CENPV",0,1.24332918359864,0.746,0.359,0,"Neuromesodermal progenitors","CENPV"
"TTYH1",0,1.21197009892328,0.661,0.295,0,"Neuromesodermal progenitors","TTYH1"
"SET",0,1.15768437904243,0.755,0.395,0,"Neuromesodermal progenitors","SET"
"RANBP1",0,1.14990258099826,0.766,0.372,0,"Neuromesodermal progenitors","RANBP1"
"NPPC",0,1.13448906080579,0.438,0.107,0,"Neuromesodermal progenitors","NPPC"
"EIF5A",0,1.08816304214239,0.696,0.383,0,"Neuromesodermal progenitors","EIF5A"
"NCL",0,0.961107847412504,0.685,0.379,0,"Neuromesodermal progenitors","NCL"
"LMNB1",0,0.93701747601161,0.624,0.349,0,"Neuromesodermal progenitors","LMNB1"
"HNRNPAB",0,0.917561202853831,0.687,0.378,0,"Neuromesodermal progenitors","HNRNPAB"
"NASP",0,0.911460314533843,0.712,0.386,0,"Neuromesodermal progenitors","NASP"
"HMGN2",0,0.868859119017345,0.749,0.393,0,"Neuromesodermal progenitors","HMGN2"
"HNRNPU",0,0.858707099033503,0.641,0.382,0,"Neuromesodermal progenitors","HNRNPU"
"HNRNPD",0,0.850670747365862,0.693,0.377,0,"Neuromesodermal progenitors","HNRNPD"
"HSPE1",0,0.80212727237277,0.685,0.398,0,"Neuromesodermal progenitors","HSPE1"
"ACAT2",0,0.68924006483228,0.669,0.315,0,"Neuromesodermal progenitors","ACAT2"
"MIF",0,0.664853653149452,0.702,0.43,0,"Neuromesodermal progenitors","MIF"
"DEK",0,0.563530695789957,0.677,0.417,0,"Neuromesodermal progenitors","DEK"
"MLLT3",0,0.429344663392434,0.603,0.291,0,"Neuromesodermal progenitors","MLLT3"
"FGFBP3",0,0.425408185264343,0.645,0.345,0,"Neuromesodermal progenitors","FGFBP3"
"TUBA1B",0,-0.554448930223651,0.716,0.414,0,"Neuromesodermal progenitors","TUBA1B"
"FABP5",0,-0.747697813923153,0.598,0.336,0,"Neuromesodermal progenitors","FABP5"
"MCM7",0,-0.962340386733306,0.646,0.359,0,"Neuromesodermal progenitors","MCM7"
"NTRK2",0,-1.03539933582189,0.543,0.194,0,"Neuromesodermal progenitors","NTRK2"
"HSP90AA1",0,-1.10451418897719,0.779,0.376,0,"Neuromesodermal progenitors","HSP90AA1"
"PTMA",0,-1.47649931754564,0.847,0.401,0,"Neuromesodermal progenitors","PTMA"
"SCUBE2",0,-1.64100391563645,0.468,0.076,0,"Neuromesodermal progenitors","SCUBE2"
"SRSF3",0,-1.85794465206913,0.687,0.396,0,"Neuromesodermal progenitors","SRSF3"
"KRT19",0,-2.36761410615724,0.064,0.336,0,"Neuromesodermal progenitors","KRT19"
"COL1A2",0,-2.52158906333572,0.057,0.344,0,"Neuromesodermal progenitors","COL1A2"
"SH3BGRL3",0,-2.54834749683165,0.229,0.475,0,"Neuromesodermal progenitors","SH3BGRL3"
"FTL",0,-2.55071522322686,0.116,0.416,0,"Neuromesodermal progenitors","FTL"
"SFPQ",0,-2.60156559926203,0.625,0.361,0,"Neuromesodermal progenitors","SFPQ"
"CKB",0,-2.76968505017915,0.696,0.372,0,"Neuromesodermal progenitors","CKB"
"FABP7",0,-2.97434260675282,0.6,0.223,0,"Neuromesodermal progenitors","FABP7"
"APOE",0,-2.97504365708075,0.112,0.427,0,"Neuromesodermal progenitors","APOE"
"TMSB4X",0,-3.0837910451191,0.139,0.396,0,"Neuromesodermal progenitors","TMSB4X"
"HSPD1",0,-3.24504431879882,0.688,0.418,0,"Neuromesodermal progenitors","HSPD1"
"MYL9",0,-3.26476230602408,0.173,0.382,0,"Neuromesodermal progenitors","MYL9"
"ARHGAP10",0,-4.23795904453804,0.081,0.344,0,"Neuromesodermal progenitors","ARHGAP10"
"DRAXIN",0,-4.34709620524243,0.564,0.294,0,"Neuromesodermal progenitors","DRAXIN"
"PNRC1",0,-4.42389645636463,0.151,0.392,0,"Neuromesodermal progenitors","PNRC1"
"CD63",0,-4.47167530097287,0.197,0.477,0,"Neuromesodermal progenitors","CD63"
"SERPINF1",0,-4.47444605541719,0.139,0.355,0,"Neuromesodermal progenitors","SERPINF1"
"LAPTM4A",0,-6.2213205608593,0.178,0.437,0,"Neuromesodermal progenitors","LAPTM4A"
"PPIB",0,-6.57093412444773,0.18,0.452,0,"Neuromesodermal progenitors","PPIB"
"HMGB1",0,-7.26530285728586,0.749,0.413,0,"Neuromesodermal progenitors","HMGB1"
"ID3",6.81288386679426e-302,0.436265253693637,0.605,0.354,2.04386516003828e-298,"Neuromesodermal progenitors","ID3"
"TYMS",5.87357468110338e-300,0.464592765936159,0.633,0.385,1.76207240433102e-296,"Neuromesodermal progenitors","TYMS"
"NES",1.16089384739969e-299,-0.396472752644889,0.611,0.358,3.48268154219908e-296,"Neuromesodermal progenitors","NES"
"FZD3",3.41358794911122e-298,1.1654845783689,0.599,0.34,1.02407638473336e-294,"Neuromesodermal progenitors","FZD3"
"FDXR",1.38647390878135e-291,-3.76681652160715,0.483,0.269,4.15942172634406e-288,"Neuromesodermal progenitors","FDXR"
"MYL6",1.14385554703201e-289,-2.01225903111077,0.213,0.447,3.43156664109602e-286,"Neuromesodermal progenitors","MYL6"
"HNRNPA2B1",1.7040425627633e-289,0.975109020559668,0.637,0.394,5.11212768828991e-286,"Neuromesodermal progenitors","HNRNPA2B1"
"GNG4",7.18532704849334e-286,-6.62462827407288,0.444,0.209,2.155598114548e-282,"Neuromesodermal progenitors","GNG4"
"S100A11",2.76836017531331e-283,-3.33565573994802,0.141,0.391,8.30508052593993e-280,"Neuromesodermal progenitors","S100A11"
"PCOLCE",5.73778013926433e-283,-4.62044244506619,0.116,0.324,1.7213340417793e-279,"Neuromesodermal progenitors","PCOLCE"
"PLD3",2.85653380060868e-282,-2.21004042470238,0.191,0.43,8.56960140182603e-279,"Neuromesodermal progenitors","PLD3"
"MALAT1",5.07090636101682e-282,-1.41523743483609,0.177,0.454,1.52127190830505e-278,"Neuromesodermal progenitors","MALAT1"
"SELENOP",9.47802449917156e-279,-3.85465823679514,0.131,0.368,2.84340734975147e-275,"Neuromesodermal progenitors","SELENOP"
"NRARP",1.96560645410265e-278,0.837699660792389,0.487,0.247,5.89681936230795e-275,"Neuromesodermal progenitors","NRARP"
"NPM1",9.91645553919267e-278,0.519534113160435,0.681,0.436,2.9749366617578e-274,"Neuromesodermal progenitors","NPM1"
"OLFML3",3.73913609002864e-277,-6.17039251202433,0.115,0.318,1.12174082700859e-273,"Neuromesodermal progenitors","OLFML3"
"PID1",2.78756451914015e-274,-1.4033207958398,0.442,0.12,8.36269355742045e-271,"Neuromesodermal progenitors","PID1"
"FTH1",2.04704538867234e-273,-5.6126260073802,0.229,0.477,6.14113616601701e-270,"Neuromesodermal progenitors","FTH1"
"FSTL1",1.30041791084329e-270,-2.57389192654105,0.186,0.423,3.90125373252987e-267,"Neuromesodermal progenitors","FSTL1"
"HPDL",7.45973402278423e-264,6.58579731956065,0.357,0.116,2.23792020683527e-260,"Neuromesodermal progenitors","HPDL"
"TAGLN",3.85441220178891e-262,-1.79899166312701,0.064,0.273,1.15632366053667e-258,"Neuromesodermal progenitors","TAGLN"
"RGMA",6.14479098156733e-257,-7.48899176999402,0.511,0.27,1.8434372944702e-253,"Neuromesodermal progenitors","RGMA"
"CXXC5",2.25862292177475e-256,-2.02950193383754,0.227,0.427,6.77586876532424e-253,"Neuromesodermal progenitors","CXXC5"
"BEX3",1.61064613265256e-255,-2.32232607789593,0.229,0.46,4.83193839795767e-252,"Neuromesodermal progenitors","BEX3"
"CCDC152",1.16857846156794e-254,-2.02561736139099,0.477,0.232,3.50573538470381e-251,"Neuromesodermal progenitors","CCDC152"
"KDELR1",1.00960844403854e-253,-1.74287212354173,0.236,0.468,3.02882533211561e-250,"Neuromesodermal progenitors","KDELR1"
"H2AFZ",5.02525961933898e-253,0.772055130836389,0.666,0.428,1.50757788580169e-249,"Neuromesodermal progenitors","H2AFZ"
"ITM2B",8.64353179006211e-253,-7.13424027784119,0.217,0.451,2.59305953701863e-249,"Neuromesodermal progenitors","ITM2B"
"TPM1",3.0103168169782e-251,-1.91907838923561,0.161,0.356,9.0309504509346e-248,"Neuromesodermal progenitors","TPM1"
"HOXB7",6.9327864369473e-250,-2.30226658755862,0.427,0.172,2.07983593108419e-246,"Neuromesodermal progenitors","HOXB7"
"DDB2",3.82823099766839e-248,-0.432920610028488,0.477,0.29,1.14846929930052e-244,"Neuromesodermal progenitors","DDB2"
