"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EPYC",0,2.2014461715367,0.38,0.078,0,"hChon","EPYC"
"MATN4",0,2.09931953511655,0.667,0.157,0,"hChon","MATN4"
"COL2A1",0,1.94302974439774,0.98,0.636,0,"hChon","COL2A1"
"CNMD",0,1.70432967600891,0.825,0.358,0,"hChon","CNMD"
"COL9A1",0,1.69511096885199,0.483,0.202,0,"hChon","COL9A1"
"TCF4",0,1.68723852415474,0.861,0.604,0,"hChon","TCF4"
"COL9A3",0,1.66669906218705,0.876,0.405,0,"hChon","COL9A3"
"WFDC2",0,1.58246319805259,0.744,0.264,0,"hChon","WFDC2"
"COL9A2",0,1.55521743666839,0.738,0.291,0,"hChon","COL9A2"
"AOPEP",0,1.39127479329819,0.822,0.357,0,"hChon","AOPEP"
"COL11A1",0,1.38877873441367,0.673,0.358,0,"hChon","COL11A1"
"MIA",0,1.34403502427088,0.589,0.161,0,"hChon","MIA"
"SOX9",0,1.27545488232788,0.825,0.449,0,"hChon","SOX9"
"NKX3-2",0,1.2601841356259,0.696,0.199,0,"hChon","NKX3-2"
"GPC3",0,1.17993060723935,0.975,0.767,0,"hChon","GPC3"
"SORBS2",0,1.16259286950374,0.532,0.169,0,"hChon","SORBS2"
"ID4",0,1.06095164400595,0.607,0.302,0,"hChon","ID4"
"PMP22",0,1.03630178679797,0.838,0.495,0,"hChon","PMP22"
"WWP2",0,0.999569663997953,0.529,0.188,0,"hChon","WWP2"
"SOX5",0,0.973563331158454,0.588,0.258,0,"hChon","SOX5"
"PAX1",0,0.949522029235825,0.774,0.36,0,"hChon","PAX1"
"METRNL",0,0.923439015222455,0.752,0.417,0,"hChon","METRNL"
"COL14A1",0,0.91004827427933,0.385,0.096,0,"hChon","COL14A1"
"CALD1",0,0.902359069648847,0.961,0.835,0,"hChon","CALD1"
"SCRG1",0,0.876737595230342,0.533,0.193,0,"hChon","SCRG1"
"CREB5",0,0.848258573496538,0.44,0.199,0,"hChon","CREB5"
"FOXF1",0,0.781726257935501,0.38,0.089,0,"hChon","FOXF1"
"ACAN",0,0.778754827736079,0.237,0.035,0,"hChon","ACAN"
"NCKAP5",0,0.76758973115845,0.328,0.081,0,"hChon","NCKAP5"
"COL11A2",0,0.76384329004056,0.249,0.066,0,"hChon","COL11A2"
"RPL13A",0,0.734972958007186,0.971,0.961,0,"hChon","RPL13A"
"TGFB3",0,0.710767964757181,0.328,0.122,0,"hChon","TGFB3"
"PKDCC",0,0.674263298438588,0.757,0.518,0,"hChon","PKDCC"
"RFLNA",0,0.671730891121191,0.58,0.323,0,"hChon","RFLNA"
"RPS11",0,0.663275277169347,0.994,0.989,0,"hChon","RPS11"
"CDC42EP3",0,0.661629995598123,0.37,0.145,0,"hChon","CDC42EP3"
"EIF3E",0,0.656357552011426,0.968,0.919,0,"hChon","EIF3E"
"LMCD1",0,0.635807134089244,0.5,0.268,0,"hChon","LMCD1"
"DUSP9",0,0.630989345472859,0.366,0.113,0,"hChon","DUSP9"
"COL27A1",0,0.616972885449024,0.411,0.188,0,"hChon","COL27A1"
"AL035258.1",0,0.602913555346137,0.214,0.047,0,"hChon","AL035258.1"
"SYNPO2",0,0.583272075427503,0.224,0.054,0,"hChon","SYNPO2"
"LUM",0,0.577629930499524,0.827,0.52,0,"hChon","LUM"
"LUZP2",0,0.576546718830204,0.271,0.082,0,"hChon","LUZP2"
"FOXF2",0,0.573483702311267,0.269,0.07,0,"hChon","FOXF2"
"ARTN",0,0.557036131317304,0.198,0.04,0,"hChon","ARTN"
"CCDC68",0,0.482977101436377,0.198,0.042,0,"hChon","CCDC68"
"RPL7",0,0.452984514315993,0.988,0.983,0,"hChon","RPL7"
"RPS16",0,0.414835068796026,0.995,0.991,0,"hChon","RPS16"
"RPS29",0,0.384215663534365,0.995,0.994,0,"hChon","RPS29"
"RPLP0",0,0.375948106758057,0.993,0.989,0,"hChon","RPLP0"
"RPL23A",0,0.333003071550316,0.995,0.992,0,"hChon","RPL23A"
"HNRNPA1",0,0.309154373641835,0.999,0.993,0,"hChon","HNRNPA1"
"RPL5",0,0.289991639026018,0.998,0.998,0,"hChon","RPL5"
"TUBB",0,-0.717282995392362,0.969,0.988,0,"hChon","TUBB"
"MARCKS",0,-0.874095814643494,0.941,0.972,0,"hChon","MARCKS"
"COTL1",0,-0.908926640021101,0.285,0.569,0,"hChon","COTL1"
"MEIS2",0,-0.914389504779832,0.125,0.423,0,"hChon","MEIS2"
"JPT1",0,-0.986911286400534,0.583,0.799,0,"hChon","JPT1"
"IGFBP2",0,-1.00348180110379,0.64,0.811,0,"hChon","IGFBP2"
"NR2F1",0,-1.1366804564013,0.18,0.477,0,"hChon","NR2F1"
"CRABP2",0,-1.14480636715678,0.148,0.435,0,"hChon","CRABP2"
"UBE2S",0,-1.2035383982415,0.371,0.623,0,"hChon","UBE2S"
"TMSB4X",0,-1.30085385832369,0.942,0.979,0,"hChon","TMSB4X"
"SFRP1",0,-1.34302614674685,0.102,0.413,0,"hChon","SFRP1"
"TUBB4B",0,-1.41735917352263,0.389,0.695,0,"hChon","TUBB4B"
"TUBA1A",0,-1.46473623080869,0.837,0.939,0,"hChon","TUBA1A"
"IGFBP5",0,-2.20154292497999,0.131,0.394,0,"hChon","IGFBP5"
"CRABP1",0,-2.89804587676771,0.041,0.334,0,"hChon","CRABP1"
"TOP2A",1.11744031450657e-306,-1.45203912895459,0.096,0.347,2.87975543451489e-302,"hChon","TOP2A"
"FGFR2",3.68615636961098e-306,0.586306074401688,0.373,0.158,9.49959358012445e-302,"hChon","FGFR2"
"SCN1A",2.22524389937406e-305,0.451518794616238,0.202,0.048,5.73467605307688e-301,"hChon","SCN1A"
"RPL27A",9.11403918352978e-304,0.46716659914794,0.992,0.986,2.34877903798746e-299,"hChon","RPL27A"
"RPS25",1.076497152369e-303,0.268480466535985,0.998,0.995,2.77424081137016e-299,"hChon","RPS25"
"MT-CO2",1.64758829062077e-303,-0.489501708210911,0.968,0.975,4.24599978375879e-299,"hChon","MT-CO2"
"ARL6IP1",4.78855958470257e-303,-1.02802533127272,0.171,0.437,1.2340596905737e-298,"hChon","ARL6IP1"
"AKAP12",2.24634954272646e-301,-1.1738961374582,0.103,0.362,5.78906740656037e-297,"hChon","AKAP12"
"MEST",1.42652405353577e-300,0.681851798872128,0.917,0.818,3.67629513836703e-296,"hChon","MEST"
"UBE2C",2.87362390694989e-297,-1.74620738952999,0.186,0.433,7.40561617060055e-293,"hChon","UBE2C"
"EBF2",5.64716190370206e-294,-0.783405620179729,0.064,0.311,1.45533009420306e-289,"hChon","EBF2"
"RPS2",1.86375035442642e-292,0.294363339203255,0.998,0.997,4.80307103839233e-288,"hChon","RPS2"
"LITAF",4.47526488277624e-291,0.647564170027816,0.592,0.376,1.15332051294027e-286,"hChon","LITAF"
"RPL9",1.01279542014403e-285,0.268493978110993,0.997,0.996,2.61007507725317e-281,"hChon","RPL9"
"PTCH1",1.04821698965738e-285,0.654143226158276,0.463,0.237,2.70136000404605e-281,"hChon","PTCH1"
"MEIS1",5.80272764021164e-275,-0.605411432773555,0.029,0.25,1.49542094015894e-270,"hChon","MEIS1"
"FLRT2",8.58849115160877e-275,0.647340115574338,0.608,0.382,2.2133400546811e-270,"hChon","FLRT2"
"CENPF",2.13700392906019e-273,-1.65844785211932,0.181,0.416,5.50727282558101e-269,"hChon","CENPF"
"GLCCI1",3.04046924156767e-273,0.571812089762216,0.398,0.191,7.83559328244405e-269,"hChon","GLCCI1"
"MAP1B",3.05084554128175e-273,-1.07182142484212,0.306,0.563,7.86233404443719e-269,"hChon","MAP1B"
"TPX2",7.50377875920231e-273,-0.886976125793706,0.048,0.272,1.93379882403403e-268,"hChon","TPX2"
"RPL21",1.894272293233e-272,0.334547872747746,0.996,0.994,4.88172912689077e-268,"hChon","RPL21"
"RPL31",2.5210383525882e-268,0.549306823208564,0.92,0.903,6.49696793845504e-264,"hChon","RPL31"
"MMP11",3.69292034286991e-268,0.830486810112797,0.354,0.162,9.51702501561004e-264,"hChon","MMP11"
"RPL23",3.81220291618393e-264,0.560059092556817,0.986,0.981,9.82442813529761e-260,"hChon","RPL23"
"PFN1",1.49679519915575e-259,-0.539179875215703,0.906,0.953,3.85739090774427e-255,"hChon","PFN1"
"BIRC5",4.51338212734999e-258,-0.874869289290773,0.119,0.355,1.16314370803937e-253,"hChon","BIRC5"
"SCD5",1.07448804289289e-256,0.630301877966451,0.332,0.147,2.76906313533927e-252,"hChon","SCD5"
"RPLP2",1.0713013409518e-255,0.336853055543285,0.994,0.992,2.76085068576689e-251,"hChon","RPLP2"
"TUBA1B",3.73223983010531e-255,-0.818758950620526,0.852,0.933,9.6183552661644e-251,"hChon","TUBA1B"
"DLGAP5",5.41613411003766e-255,-0.781404030552319,0.028,0.235,1.39579192149781e-250,"hChon","DLGAP5"
"AURKB",1.51081388292392e-253,-0.740344735576917,0.066,0.287,3.89351845768323e-249,"hChon","AURKB"
"ANGPTL2",1.28622129194689e-252,0.458176974488139,0.277,0.104,3.31472089147633e-248,"hChon","ANGPTL2"
"CRNDE",2.1955465606439e-252,-0.614624361268408,0.046,0.261,5.65814304143541e-248,"hChon","CRNDE"
"WLS",2.22068757140531e-252,0.631279704918762,0.576,0.377,5.72293394026862e-248,"hChon","WLS"
"NPM1",2.93369493881105e-251,0.273040248113332,0.995,0.988,7.56042522680995e-247,"hChon","NPM1"
"MKI67",2.31947729695748e-249,-1.03587950059838,0.101,0.327,5.97752494198912e-245,"hChon","MKI67"
"NRP2",6.09944227807919e-249,-0.698492358881702,0.076,0.303,1.57188726948379e-244,"hChon","NRP2"
"RPL38",6.94535088514614e-249,0.385773239778937,0.98,0.978,1.78988637661101e-244,"hChon","RPL38"
"THRB",2.5821436427599e-246,0.358670441316421,0.16,0.037,6.65444238175653e-242,"hChon","THRB"
"HIST1H1B",1.8420320930828e-245,-0.935638824460664,0.037,0.242,4.74710090708369e-241,"hChon","HIST1H1B"
"CCNB1",2.78520577662291e-245,-1.08960328050578,0.075,0.291,7.1777538069349e-241,"hChon","CCNB1"
"PRRX1",4.26367811712788e-243,-0.705572175874545,0.029,0.229,1.09879248756503e-238,"hChon","PRRX1"
"RPS20",5.10512265665013e-243,0.806145339824273,0.825,0.778,1.3156411598453e-238,"hChon","RPS20"
"SEMA3C",3.49308696253243e-242,0.491403918563521,0.291,0.115,9.00203441114233e-238,"hChon","SEMA3C"
"LRIG1",6.92290483070846e-241,0.574082216257165,0.355,0.167,1.78410180392188e-236,"hChon","LRIG1"
"RPL37A",1.38999963506251e-239,0.456348441038158,0.987,0.982,3.58216805951959e-235,"hChon","RPL37A"
"NR2F2",1.34620002873138e-237,-0.694812808814216,0.17,0.406,3.46929209404365e-233,"hChon","NR2F2"
"FENDRR",1.05517270607102e-235,0.325964409460832,0.139,0.028,2.71928558081563e-231,"hChon","FENDRR"
