"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1","WNT5B",4.95292454753605e-108,10.7840521422827,0.509,0.149,1.48587736426082e-104,"Axial progenitors","WNT5B"
"2","UGT8",3.91451678673416e-85,10.0515838015116,0.431,0.112,1.17435503602025e-81,"Axial progenitors","UGT8"
"3","MRS2.4",1.60056147897818e-183,8.94945590213717,0.688,0.301,4.80168443693454e-180,"Axial progenitors","MRS2"
"4","SPIN4.1",4.14588435959927e-87,8.83198805598809,0.507,0.158,1.24376530787978e-83,"Axial progenitors","SPIN4"
"5","SLC12A8.1",2.74479637587928e-36,8.57012795276444,0.375,0.145,8.23438912763785e-33,"Axial progenitors","SLC12A8"
"6","CDK2AP2.5",0.000200461738416599,8.40042851543896,0.405,0.349,0.601385215249797,"Axial progenitors","CDK2AP2"
"7","SCG5.4",0,7.89715637823018,0.781,0.297,0,"Axial progenitors","SCG5"
"8","HOXA7.1",1.04631713660945e-38,7.77445338841526,0.422,0.12,3.13895140982835e-35,"Axial progenitors","HOXA7"
"9","DIPK2A.1",5.59275763207579e-23,7.24900023371188,0.396,0.201,1.67782728962274e-19,"Axial progenitors","DIPK2A"
"10","RIOK1.5",5.6722568270318e-280,6.83374384346217,0.792,0.364,1.70167704810954e-276,"Axial progenitors","RIOK1"
"11","AHNAK.3",3.00994443301532e-96,6.55989126767019,0.555,0.29,9.02983329904597e-93,"Axial progenitors","AHNAK"
"12","IL17RD.1",2.74898101563164e-119,6.47576055132853,0.521,0.181,8.24694304689491e-116,"Axial progenitors","IL17RD"
"13","CDH6",1.66849016064112e-131,6.26676359046541,0.542,0.131,5.00547048192336e-128,"Axial progenitors","CDH6"
"14","ADGRG6.1",8.48050751726806e-96,6.23162586785368,0.445,0.087,2.54415225518042e-92,"Axial progenitors","ADGRG6"
"15","DIO2",0,6.03536349605701,0.712,0.096,0,"Axial progenitors","DIO2"
"16","SLC1A1",2.72425036710968e-17,5.85986825930572,0.347,0.102,8.17275110132903e-14,"Axial progenitors","SLC1A1"
"17","RNF150",2.99705929997204e-54,5.81140295241115,0.415,0.13,8.99117789991612e-51,"Axial progenitors","RNF150"
"18","CDKN3.1",4.9658956725837e-31,5.78095599491224,0.508,0.353,1.48976870177511e-27,"Axial progenitors","CDKN3"
"19","TTPA",1.20997950216793e-73,5.52152494847008,0.425,0.117,3.62993850650378e-70,"Axial progenitors","TTPA"
"20","MXD1",1.84433129822236e-15,5.09257142062909,0.305,0.138,5.53299389466707e-12,"Axial progenitors","MXD1"
"21","AMOT.2",2.00217682746017e-61,5.03083563397393,0.475,0.204,6.00653048238052e-58,"Axial progenitors","AMOT"
"22","HOXA9",1.02325331475839e-70,4.76348663083069,0.412,0.088,3.06975994427518e-67,"Axial progenitors","HOXA9"
"23","DACH1.4",7.31429024427355e-261,4.69837168328188,0.753,0.302,2.19428707328207e-257,"Axial progenitors","DACH1"
"24","GTSE1.3",1.64887488204596e-20,4.64420830614517,0.521,0.37,4.94662464613788e-17,"Axial progenitors","GTSE1"
"25","HYMAI.1",4.90906516044114e-63,4.27175508206932,0.486,0.211,1.47271954813234e-59,"Axial progenitors","HYMAI"
"26","HOXB3.4",7.31368736367941e-151,4.22559878335322,0.712,0.349,2.19410620910382e-147,"Axial progenitors","HOXB3"
"27","ARL4C.5",7.59526251554373e-172,4.13651710218901,0.715,0.384,2.27857875466312e-168,"Axial progenitors","ARL4C"
"28","GPC3.3",1.29096693740473e-267,4.02448959435303,0.752,0.301,3.8729008122142e-264,"Axial progenitors","GPC3"
"29","HOXC8",3.59887189832087e-106,3.84328502669249,0.454,0.095,1.07966156949626e-102,"Axial progenitors","HOXC8"
"30","MAML3.3",5.07662896509513e-230,3.84298692643899,0.704,0.253,1.52298868952854e-226,"Axial progenitors","MAML3"
"31","DSP.4",0,3.82363947135617,0.912,0.294,0,"Axial progenitors","DSP"
"32","TENT5C.1",3.90311717587889e-134,3.8081259455432,0.512,0.081,1.17093515276367e-130,"Axial progenitors","TENT5C"
"33","WLS.4",0,3.79291084849853,0.843,0.332,0,"Axial progenitors","WLS"
"34","GREM1",3.20099648284877e-44,3.79113583826462,0.414,0.106,9.60298944854631e-41,"Axial progenitors","GREM1"
"35","HOXA-AS3.5",1.01654197556229e-173,3.78983190859824,0.658,0.222,3.04962592668688e-170,"Axial progenitors","HOXA-AS3"
"36","PLAGL1.3",2.22723785712925e-107,3.68646688941759,0.659,0.333,6.68171357138774e-104,"Axial progenitors","PLAGL1"
"37","C17orf97",1.08891682067347e-05,3.60075842427908,0.268,0.182,0.0326675046202042,"Axial progenitors","C17orf97"
"38","HOXA10-AS",6.58133167999459e-35,3.54277683703639,0.338,0.11,1.97439950399838e-31,"Axial progenitors","HOXA10-AS"
