"","x"
"1","LGR6"
"2","LINC01896"
"3","ULBP1"
"4","GABRA1"
"5","SALL3"
"6","ITGA3"
"7","CSPG5"
"8","ASIC4"
"9","NEBL"
"10","AC107398.3"
"11","SLC4A11"
"12","LGALS3"
"13","PAPLN"
"14","CASZ1"
"15","DOCK5"
"16","CAB39L"
"17","TRPV4"
"18","TSPEAR-AS2"
"19","CPM"
"20","DISP1"
"21","ADGRB1"
"22","JUP"
"23","DSP"
"24","STXBP2"
"25","SAT1"
"26","ATG16L2"
"27","FREM1"
"28","GALNT17"
"29","ETV4"
"30","IFI44L"
"31","DENND3"
"32","CAVIN1"
"33","MIR193BHG"
"34","SKAP2"
"35","RHBDF2"
"36","PER1"
"37","S100A10"
"38","ITPR3"
"39","DUSP23"
"40","TRIM56"
"41","NAV2"
"42","TGFBR3"
"43","PGGHG"
"44","TRIL"
"45","TAPBP"
"46","DDR1"
"47","PPP2R5B"
"48","LAMA5"
"49","PTPN12"
"50","UBL3"
"51","EZR"
"52","RAPH1"
"53","SLC25A37"
"54","NACC2"
"55","PPP1R9A"
"56","PTK2B"
"57","TPD52L1"
"58","MANBA"
"59","BLVRB"
"60","ARL6IP5"
"61","ELL2"
"62","AGTRAP"
"63","PSD"
"64","PHYHD1"
"65","RAB40B"
"66","PREX1"
"67","AHNAK"
"68","SPEF2"
"69","B4GALT7"
"70","BIN3"
"71","EFEMP1"
"72","HOTAIRM1"
"73","RHEB"
"74","SLC2A1"
"75","DSG2"
"76","TMEM123"
"77","TMEM134"
"78","SPIRE2"
"79","SMPD1"
"80","PLEKHA4"
"81","OSBPL2"
"82","RNF7"
"83","ERBB3"
"84","KIAA0895L"
"85","RRAS2"
"86","ETV1"
"87","IDS"
"88","YAE1"
"89","MEAF6"
"90","CTC1"
"91","CAPZA2"
"92","CCDC92"
"93","ACSL3"
"94","ARRDC1"
"95","MIR1915HG"
"96","NUP42"
"97","TRAK1"
"98","MCF2L"
"99","ARHGEF26"
"100","CIAO3"
"101","CREB3"
"102","PFKFB4"
"103","CAPNS1"
"104","DEPP1"
"105","MXRA7"
"106","ZNF677"
"107","SLC2A10"
"108","TMCO3"
"109","ZNF662"
"110","PPP2R5A"
"111","EFR3A"
"112","ERP29"
"113","CHST3"
"114","IL17RC"
"115","TMEM99"
"116","RB1"
"117","KLF4"
"118","ADGRL2"
"119","ZRSR2"
