"","x"
"1","NTM"
"2","GMPR"
"3","PGM1"
"4","PPFIA1"
"5","EHD4"
"6","CNTNAP2"
"7","MGLL"
"8","CALR"
"9","TFPI2"
"10","VWA5A"
"11","SERPINE2"
"12","PPP1R3B"
"13","RHOBTB3"
"14","NET1"
"15","SEMA6A"
"16","WFDC2"
"17","PPP3CA"
"18","HSPA5"
"19","ZNF503"
"20","HSP90B1"
"21","FTL"
"22","ITGB1"
"23","MPZ"
"24","TNFRSF11B"
"25","DTWD2"
"26","ANGPTL1"
"27","CALM1"
"28","SFRP5"
"29","VSNL1"
"30","FSTL5"
"31","RPS3A"
"32","GNB4"
"33","RHOJ"
"34","ITGB5"
"35","GPX3"
"36","KDELR1"
"37","CA2"
"38","CPA2"
"39","BGN"
"40","NQO1"
"41","ENPP2"
"42","STEAP1B"
"43","FGF1"
"44","PPIB"
"45","EPHX1"
"46","SLIT3"
"47","CEBPB"
"48","VGLL4"
"49","LAMB1"
"50","RCN3"
"51","PLSCR1"
"52","TMEM185A"
"53","PDIA3"
"54","N4BP2"
"55","THBS1"
"56","DUSP5"
"57","DMKN"
"58","SEMA3D"
"59","FAM189A2"
"60","RCAN3"
"61","FAM114A1"
"62","LRATD2"
"63","GPRIN3"
"64","SGK1"
"65","IGFBP6"
"66","DSC2"
"67","ELMO1"
"68","GADD45B"
"69","TES"
"70","CCDC85A"
"71","PDIA4"
"72","KCTD16"
"73","PPM1H"
"74","HDLBP"
"75","SPTLC3"
"76","CMTM8"
"77","EDNRB"
"78","PDLIM4"
"79","EIF1"
"80","STXBP6"
"81","FXYD3"
"82","EFCAB1"
"83","TMSB10"
"84","CYP11A1"
"85","WARS"
"86","SYNM"
"87","ITM2C"
"88","FBN2"
"89","JMJD1C"
"90","ARHGAP10"
"91","TMEM59L"
"92","IFI6"
"93","HIPK2"
"94","CDH18"
"95","NOL4"
"96","AP001816.1"
"97","SFPQ"
"98","PLEKHB1"
"99","CADM2"
"100","TRIB3"
"101","GFPT1"
"102","MCAM"
"103","RASGEF1B"
"104","KCNG1"
"105","NKD1"
"106","CBX4"
"107","DDIT3"
"108","MAPK10"
"109","PHLDA2"
"110","TMEM158"
"111","PTGER4"
"112","CNKSR3"
"113","NDST3"
"114","PDGFB"
"115","MAFF"
"116","NEK11"
"117","TMEM178A"
"118","PXDN"
"119","RIPOR2"
"120","CXXC5"
"121","KHDRBS3"
"122","HMCN1"
"123","QPCT"
"124","AC020916.1"
"125","SQSTM1"
"126","SEC24D"
"127","AMOTL2"
"128","OLFML3"
"129","ADAMTS1"
"130","RET"
"131","ZNF763"
"132","LOXL4"
"133","PDGFD"
"134","NPW"
"135","RNF19A"
"136","SDC2"
"137","LYPD1"
"138","BRINP2"
"139","MAGED2"
"140","GLRX2"
"141","NUPR1"
"142","SLC3A2"
"143","IAH1"
"144","AL096865.1"
"145","TUBA1A"
"146","CTSB"
"147","MAP3K7CL"
"148","PLP1"
"149","ETS1"
"150","SH2B3"
"151","SNX16"
"152","SDC4"
"153","ATF5"
"154","ASS1"
"155","NEXN"
"156","TARS"
"157","LPL"
"158","EPSTI1"
"159","LUZP2"
"160","EPS8"
"161","PRNCR1"
"162","SERPINF2"
"163","CNMD"
"164","MTHFD2"
"165","TCEA3"
"166","ZNF528"
"167","TRG-AS1"
"168","RIBC1"
"169","CCN4"
"170","SNAPC1"
"171","CD44"
"172","ATF4"
"173","ZMYND10"
"174","GDF10"
"175","IFITM3"
"176","DHRS7"
"177","RRAS"
"178","PMAIP1"
"179","TEX264"
"180","ARF4"
"181","TTC3"
"182","OSR1"
"183","SORBS1"
"184","ITGA6"
"185","CLGN"
"186","FILIP1L"
"187","GOLGA4"
"188","TMF1"
"189","FOXP1"
"190","PJA2"
"191","TM4SF1"
"192","ZNF436-AS1"
"193","SAMD4A"
"194","SHMT2"
"195","FGF12"
"196","AC044849.1"
"197","TPPP3"
"198","BMP2"
"199","JUND"
"200","MEG3"
"201","GNG11"
"202","AC026124.2"
"203","CD68"
"204","RASSF4"
"205","IL13RA1"
"206","FKBP14"
"207","SEPTIN6"
"208","MID2"
"209","IL1R1"
"210","PIK3CD-AS2"
"211","C1GALT1"
"212","STK39"
"213","MANF"
"214","LINC00632"
"215","IFFO2"
"216","SULT1C4"
"217","AC012645.1"
"218","TNFRSF1B"
"219","OPTN"
"220","SPAG1"
"221","TTYH1"
"222","CPQ"
"223","TLE5"
"224","RUNX1"
"225","RIMS1"
"226","PRSS12"
"227","KBTBD8"
"228","ACSS3"
"229","C9orf24"
"230","PRKG2"
"231","BEX3"
"232","ARNTL"
"233","ARAP2"
"234","PHGDH"
"235","HNMT"
"236","HLA-C"
"237","MAML2"
"238","WAKMAR2"
"239","HACD1"
"240","KIAA0040"
"241","RNF217"
"242","LRRIQ1"
"243","C5orf49"
"244","E2F8"
"245","KDM5B"
"246","MYH9"
"247","MYORG"
"248","ALPK2"
"249","SYTL1"
"250","HIST1H1D"
"251","RGCC"
"252","NOSTRIN"
"253","MGST2"
"254","KIAA1755"
"255","TTC25"
"256","NBL1"
"257","IFI30"
"258","ADCY2"
"259","AL121821.2"
"260","EGFLAM"
"261","AC106795.2"
"262","AC106881.1"
"263","PLD1"
"264","STARD4-AS1"
"265","CASK"
"266","SARS"
"267","SCD5"
"268","TXNRD2"
"269","DUSP1"
"270","ALDH1L2"
"271","NEU1"
"272","NTNG1"
"273","CYTOR"
"274","STK32A"
"275","BBC3"
"276","SEC61B"
"277","PHKG1"
"278","RGS3"
"279","CHCHD10"
"280","LGALS1"
"281","SYT4"
"282","PSAP"
"283","SEC31A"
"284","AC245014.3"
"285","EPHA4"
"286","PNRC1"
"287","WWC2"
"288","TGFB3"
"289","AKAP9"
"290","OLFML2A"
"291","PALMD"
"292","CDON"
"293","ZNF322"
"294","BTN3A1"
"295","JUN"
"296","DUSP2"
"297","RNF121"
"298","EBF2"
"299","ANOS1"
"300","FLNA"
"301","MFAP2"
"302","RAD50"
"303","CCDC186"
"304","ME1"
"305","ANK2"
"306","SLFN13"
"307","ADAMTS17"
"308","EPAS1"
"309","AL050309.1"
"310","PNN"
"311","MAN2A1"
"312","TMC6"
"313","LRRC23"
"314","CYGB"
"315","PCDH10"
"316","RCAN1"
"317","EGR2"
"318","FBXO16"
"319","GYG2"
"320","ITGAV"
"321","FAM43A"
"322","CHD2"
"323","TBC1D8B"
"324","COL6A2"
"325","HIST2H2AC"
"326","NKAIN4"
"327","HIST1H2BJ"
"328","NEK10"
"329","EGR3"
"330","ST8SIA4"
"331","TMEM263"
"332","BCAR3"
"333","MIR503HG"
"334","TGFB1I1"
"335","LRRK2"
"336","SLFN5"
"337","HIST1H1C"
"338","DGCR6"
"339","NORAD"
"340","CEBPD"
"341","THBS2"
"342","ENO4"
"343","FREM2"
"344","AOPEP"
"345","CFAP70"
"346","CPLANE2"
"347","AC105446.1"
"348","BCHE"
"349","ITGA1"
"350","NFKBIA"
"351","KCNQ1OT1"
"352","SLC1A5"
"353","HIST1H1B"
"354","SRPX2"
"355","DANT2"
"356","CYTL1"
"357","IFT20"
"358","P2RY1"
"359","GAN"
"360","CD226"
"361","TP53INP2"
"362","HIST1H2AK"
"363","RGMB"
"364","GAS6"
"365","N4BP2L1"
"366","MYO10"
"367","PABPC5"
"368","MEST"
"369","TJP1"
"370","HIST1H2BG"
"371","DAAM1"
"372","ACAT2"
"373","TPD52"
"374","IKZF2"
"375","PLD6"
"376","MXI1"
"377","AC105285.1"
"378","KCNH8"
"379","SH3KBP1"
"380","ZNF703"
"381","UNC5B"
"382","MACF1"
"383","CACNA1D"
"384","AC007952.4"
"385","CCDC30"
"386","TFPI"
"387","PCSK5"
"388","CRYL1"
"389","KIF27"
"390","AL391807.1"
"391","RAB26"
"392","BCKDHA"
"393","PCDH11X"
"394","TCTE3"
"395","GIPR"
"396","DNAJC25"
"397","LINC00960"
"398","SHTN1"
"399","AC244213.1"
"400","KLF10"
"401","TBC1D10A"
"402","ZMAT3"
"403","ANKRD44"
"404","NRAV"
"405","TTC6"
"406","TYMS"
"407","CAPN2"
"408","SEMA3E"
"409","AC068790.7"
"410","ASCC3"
"411","FOXP2"
"412","PAX1"
"413","MMP2"
"414","LPP"
"415","WFIKKN1"
"416","MICU1"
"417","LRIG3"
"418","CCDC170"
"419","AL049838.1"
"420","DISC1"
"421","NIPAL2"
"422","HNRNPU"
"423","CCDC78"
"424","LSAMP"
"425","RGS2"
"426","CACNA1I"
"427","CDADC1"
"428","TMEM117"
"429","NKILA"
"430","MMP11"
"431","SOBP"
"432","S100A4"
"433","GOLGB1"
"434","SEC14L1"
"435","TNFSF13"
"436","AL031963.3"
"437","IL11"
"438","GNAS"
"439","WSB1"
"440","BTG3"
"441","CCDC181"
"442","SPRY2"
"443","CFAP300"
"444","CCDC114"
"445","TARSL2"
"446","TMEM150A"
"447","FERMT2"
"448","GXYLT2"
"449","CD36"
"450","AC136475.1"
"451","CAPN6"
"452","INPP5J"
"453","PRKCA"
"454","FLNB"
"455","MCM7"
"456","FAM229B"
"457","MYZAP"
"458","HLA-E"
"459","PCDHGC3"
"460","WNK4"
"461","TENT5C"
"462","STK32B"
"463","AC253572.2"
"464","APOA1"
"465","AL118511.1"
"466","TSGA10"
"467","ATL1"
"468","HES4"
"469","CXCR4"
"470","HIST1H1E"
"471","ODC1"
"472","FAM227A"
"473","AC239809.3"
"474","CASC15"
"475","CD302"
"476","SELENBP1"
"477","SPATA18"
"478","LMO3"
"479","PMEPA1"
"480","CPE"
"481","CAPN7"
"482","RASIP1"
"483","SH3BGR"
"484","PRKX"
"485","PALM2-AKAP2"
"486","KRCC1"
"487","CANX"
"488","ROBO1"
"489","HSPE1"
"490","MTUS1"
"491","MCL1"
"492","MVD"
"493","ACYP2"
"494","DYNC1I1"
"495","BAZ2B"
"496","TUBB4B"
"497","LAMC2"
"498","CYP51A1"
"499","C9orf116"
"500","PDLIM3"
"501","LINC00472"
"502","CYB5A"
"503","HSPD1"
"504","NRIP1"
"505","ARHGAP31"
"506","UBFD1"
"507","NELL2"
"508","IFT80"
"509","TNXB"
"510","NFIX"
"511","IL11RA"
"512","FAXDC2"
"513","AC012101.2"
"514","CD200"
"515","ZNF235"
"516","TWF2"
"517","SMAD9"
"518","FGF13"
"519","UBE2H"
"520","TBC1D2"
"521","GSTZ1"
"522","CLSPN"
"523","DDX3Y"
"524","MBP"
"525","AL035681.1"
"526","HMGB2"
"527","CALCOCO2"
"528","PITPNC1"
"529","MXD4"
"530","PHACTR2"
"531","MAPK12"
"532","SLBP"
"533","BEX2"
"534","EIF4EBP1"
"535","METRN"
"536","NR3C1"
"537","CEP126"
"538","CFAP54"
"539","SNHG8"
"540","SEC23IP"
"541","TNFRSF10B"
"542","HMGB3"
"543","ACTG1"
"544","ATAD2"
"545","STRADB"
"546","HMMR"
"547","TFRC"
"548","PCM1"
"549","PHLDA3"
"550","MT-CO1"
"551","NFIA"
"552","RAB11FIP1"
"553","PLEKHA5"
"554","TMEM154"
"555","INPP5F"
"556","CCNA2"
"557","FAT4"
"558","COL5A2"
"559","IFT27"
"560","MARCKS"
"561","PPP1R14C"
"562","TPX2"
"563","RNF43"
"564","CDK6"
"565","TGFA"
"566","CDC20"
"567","EXOSC1"
"568","NUSAP1"
"569","MAP1A"
"570","HLA-B"
"571","CADM1"
"572","FAT1"
"573","EXD3"
"574","ASPM"
"575","DYNLL1"
"576","IFITM2"
"577","APOL2"
"578","CALM2"
"579","RNF32"
"580","RSRP1"
"581","FHL1"
"582","HSPA4L"
"583","IGFBP4"
"584","THUMPD3-AS1"
"585","SULF2"
"586","SERINC5"
"587","LINC02614"
"588","CCNB1"
"589","FAM214A"
"590","SERTAD4-AS1"
"591","DNAJA3"
"592","TMSB4X"
"593","PRC1"
"594","MIS18BP1"
"595","AC096733.2"
"596","EIF4A2"
"597","GDNF"
"598","GABPB1-AS1"
"599","ANLN"
"600","BCAT1"
"601","KIN"
"602","AKR1C1"
"603","BTG2"
"604","CHCHD2"
"605","LINC00662"
"606","HNRNPA3"
"607","BCLAF1"
"608","SNCA"
"609","TACC3"
"610","SH3PXD2A"
"611","UBE2S"
"612","AURKA"
"613","SNX13"
"614","MEIS3"
"615","CKAP2"
"616","KIF14"
"617","CCDC152"
"618","SYNE2"
"619","ZNF91"
"620","FUNDC1"
"621","MAOA"
"622","DHFR"
"623","NAV1"
"624","ATP1B1"
