"","x"
"1","HES3"
"2","DTX4"
"3","WNT8A"
"4","RARB"
"5","CER1"
"6","LEFTY2"
"7","FZD6"
"8","FZD7"
"9","LEFTY1"
"10","FGF5"
"11","NODAL"
"12","PRICKLE1"
"13","TCF7L2"
"14","FURIN"
"15","TCF3"
"16","SMAD3"
"17","BTG1"
"18","COBL"
"19","EMP1"
"20","KLHL6"
"21","NAV3"
"22","NOTO"
"23","PRICKLE2"
"24","PRNP"
"25","SCARA3"
"26","4930533K18RIK"
"27","CLUSTERIN"
"28","COL8A2"
"29","DEFCR-RS7"
"30","DEFCR26"
"31","FERMT1"
"32","HAP1"
"33","LY-6H"
"34","NDUFAF4"
"35","RPRM"
"36","SCL0003799.1_2"
"37","SPEF1"
"38","SYNPO"
"39","ACVR1"
"40","EPHA2"
"41","FGF17"
"42","FGF18"
"43","HOXD1"
"44","HOXD3"
"45","II17RD"
"46","OTX1"
"47","PRR18"
"48","TRIB2"
"49","EVX1"
"50","FGF8"
"51","H2AFY"
"52","BMP1"
"53","CYP26A1"
"54","ELK3"
"55","HSD11B2"
"56","LMO2"
"57","NOTCH4"
"58","NRARP"
"59","ODZ4"
"60","RSPO3"
"61","SAMD9L"
"62","SEMA3F"
"63","SHISA2"
"64","TCF4"
"65","WNT5A"
"66","AARD"
"67","ADAM23"
"68","ADAMTSL2"
"69","ANTXR1"
"70","ATP1A2"
"71","CHD3"
"72","CYP27A1"
"73","GAS7"
"74","HEBP1"
"75","LAMA1"
"76","LONRF2"
"77","SUSD4"
"78","FGF9"
"79","FSTL4"
"80","GCNT2"
"81","HEY1"
"82","NPTX2"
"83","OCIAD2"
"84","OXCT1"
"85","PTK7"
"86","SCARA5"
"87","SEMA5B"
"88","STK38L"
"89","TCF15"
"90","TPM1"
"91","VEGFC"
"92","CTGF"
"93","1700007G11RIK"
"94","1700027A23RIK"
"95","3100002J23RIK"
"96","CAPSL"
"97","CDO1"
"98","CYB651"
"99","DAND5"
"100","DEFCR-RS2"
"101","DNAJB13"
"102","DYNLRB2"
"103","FGG"
"104","FOXA2"
"105","GAL"
"106","HDC"
"107","TEKT1"
"108","WDR16"
"109","IFGBP5"
"110","1600029D21RIK"
"111","1700009P17RIK "
"112","2310045A20RIK"
"113","2410066E13RIK"
"114","ADCY8"
"115","ANXA4"
"116","ARHGEF16"
"117","ATP9A"
"118","CALCA"
"119","CAR3"
"120","CFC1"
"121","CHL1"
"122","CYB561"
"123","DDO"
"124","DEFCR-RS1"
"125","DMGDH"
"126","DNAHC11"
"127","DNAHC5"
"128","DPYD"
"129","DYNC2H1 "
"130","DYNC2LI1"
"131","EG432995"
"132","EG546143"
"133","EG639426"
"134","F5"
"135","FOXD4"
"136","FOXJ1"
"137","GDF3"
"138","GLIS3"
"139","GSC"
"140","GSTM5"
"141","IFT57"
"142","IFT88"
"143","JOSD2"
"144","KBTBD4"
"145","LASS1"
"146","LHX1"
"147","MLF1"
"148","MNX1"
"149","NDRG1"
"150","NPHP3"
"151","PIM1"
"152","PKD1L1"
"153","PRND"
"154","PROX1"
"155","RASSF9"
"156","RFX3"
"157","RIPK4"
"158","SEPP1"
"159","SMARCD3"
"160","SOSTDC1"
"161","SP5"
"162","SPINK3"
"163","ST8SIA6"
"164","SULF1"
"165","TCTN1"
"166","TMEM176A"
"167","TMEM176B"
"168","TTLL6"
"169","UPK3A"
"170","WIF1"
"171","WNT11"
"172","ZIC3"
"173","GLI1"
"174","GLI2"
"175","GLI3"
"176","GLIS1"
"177","GLIS2"
"178","HHIP"
"179","PTCH2"
"180","SMO"
"181","SUFU"
"182","BMP4"
"183","BMPR1B"
"184","FST"
"185","SMAD5"
"186","SMAD6"
"187","SMAD7"
"188","ZNF423"
"189","ELK1"
"190","GRB10"
"191","IGF2"
"192","IGF2BP1"
"193","IGF2BP2"
"194","IGF2BP3"
"195","IGF2OS"
"196","IGF2R"
"197","AGRN"
"198","GPC2"
"199","NCAN"
"200","SDC1"
"201","VCAN"
"202","COL3A1"
"203","COL4A5"
"204","COL4A6"
"205","COL12A1"
"206","COL14A1"
"207","COL19A1"
"208","COL17A1"
"209","COL18A1"
"210","COL20A1"
"211","COL23A1"
"212","COL26A1"
"213","CAR12"
"214","AXIN2"
"215","BCL9"
"216","CDH3"
"217","DKK2 "
"218","FRZB "
"219","FZD1"
"220","FZD2"
"221","FZD3"
"222","FZD4 "
"223","FZD7 "
"224","FZD8"
"225","FZD9"
"226","FZD10"
"227","KREMEN1 "
"228","KREMEN2 "
"229","MYC"
"230","NLK "
"231","SFRP1"
"232","SFRP2"
"233","SOX2 "
"234","SOX7"
"235","SOX8 "
"236","SOX10"
"237","SOX11 "
"238","SOX12"
"239","SOX13"
"240","SOX17"
"241","TCF4 "
"242","TCF7L1 "
"243","TLE1"
"244","WNT1"
"245","WNT3"
"246","WNT6 "
"247","WNT2B"
"248","WNT7A"
"249","WNT7B"
"250","WNT9B"
"251","ITPR1"
"252","SRC"
"253","CREB5 "
"254","FGF6"
"255","FGF10"
"256","FGF11 "
"257","FGF15"
"258","FGFR1"
"259","FGFR2"
"260","FGFR4 "
"261","GAB1"
"262","PDGFC "
"263","PDGFRA"
"264","SYNJ2 "
"265","PIK3R3"
"266","PLCG1"
"267","PPM1L "
