"","x"
"1","NOG"
"2","COL9A1"
"3","COL25A1"
"4","SERPINF1"
"5","NREP"
"6","SLC39A8"
"7","GPC3"
"8","KDELR3"
"9","COL4A2"
"10","BICC1"
"11","DUSP6"
"12","RFTN2"
"13","CHRD"
"14","COL4A1"
"15","TNFRSF12A"
"16","CTHRC1"
"17","LRP2"
"18","FOXD1"
"19","GSN"
"20","TMPRSS2"
"21","FAM181B"
"22","STC2"
"23","PDGFRB"
"24","CCND1"
"25","BMP7"
"26","ARL4A"
"27","FGFRL1"
"28","NDRG2"
"29","IGFBP3"
"30","SOX4"
"31","LYPD6B"
"32","CD83"
"33","VTN"
"34","LIMCH1"
"35","LMX1A"
"36","APCDD1"
"37","MOXD1"
"38","FBLN2"
"39","FLRT3"
"40","PTCH1"
"41","HAS2"
