"","x"
"1","HS3ST1"
"2","CHRM2"
"3","CAV1"
"4","IRX3"
"5","AP3B2"
"6","GSAP"
"7","KRT18"
"8","HES7"
"9","RAB3B"
"10","ESPN"
"11","RBM20"
"12","FLT4"
"13","DDIT4L"
"14","CA3"
"15","SNORC"
"16","LRRN2"
"17","PPP1R3C"
"18","NRP2"
"19","SPP1"
"20","KRT8"
"21","CD109"
"22","ZFP36"
"23","HAPLN3"
"24","RBPMS"
"25","GFOD1"
"26","PERP"
"27","BHLHE40"
"28","S100A1"
"29","RAB20"
"30","VAMP5"
"31","DENND2C"
"32","MFGE8"
"33","ENO2"
"34","LRRFIP1"
"35","NEDD9"
"36","COBLL1"
"37","EGR1"
"38","TGFB1"
"39","NR4A1"
"40","LGALSL"
"41","ARID3B"
"42","S100A6"
"43","FAM162A"
"44","CLMN"
"45","DST"
"46","JUNB"
"47","MAF"
"48","THY1"
"49","AP1S2"
"50","TSC22D3"
"51","ABLIM1"
"52","FN1"
"53","ITM2A"
"54","TLN2"
"55","SLC16A3"
"56","HLA-A"
"57","RAPGEF5"
"58","COMT"
"59","ITGB8"
"60","CD24"
"61","C1QTNF3"
"62","PRELP"
"63","COLGALT2"
"64","KLF2"
"65","ITGA10"
"66","NUAK1"
"67","IER3"
"68","APP"
"69","ANXA2"
"70","ST3GAL1"
"71","HSPG2"
"72","LMNA"
"73","NEAT1"
"74","WWTR1"
"75","PTPN13"
"76","YPEL3"
"77","UGP2"
"78","TUBB2A"
"79","SATB1"
"80","MALT1"
"81","PAPSS2"
"82","SEMA3C"
"83","SPTAN1"
"84","CCN2"
"85","P4HA1"
"86","MYADM"
"87","PALLD"
"88","FARP1"
"89","TAGLN"
"90","ECRG4"
"91","IER2"
"92","ASAH1"
"93","WWP2"
"94","MYL9"
"95","BCAM"
"96","MRC2"
"97","HAPLN1"
"98","SPTBN1"
"99","DDR2"
"100","ENO1"
"101","CD164"
"102","SYNE1"
"103","COL2A1"
"104","COL11A2"
"105","SORBS2"
"106","PBX1"
"107","MYL6"
"108","PPFIBP1"
"109","FOS"
"110","HERPUD1"
"111","CGNL1"
"112","CD63"
"113","MALAT1"
"114","PPP1R15A"
"115","TUBB2B"
"116","CCN1"
"117","PEG10"
"118","SNHG18"
"119","FTH1"
"120","CHPF"
"121","LDHA"
"122","ATP6V0B"
"123","LINC00511"
"124","APLP2"
"125","ZNF280D"
"126","ITM2B"
"127","ACAN"
"128","ZNF385B"
"129","DLG2"
"130","GALNT3"
"131","CDH10"
"132","S100B"
"133","HOPX"
"134","ABI3BP"
"135","GALNT5"
"136","XYLT1"
"137","BNIP3"
"138","SCRG1"
"139","PLOD2"
"140","FMOD"
"141","LOXL2"
"142","ID4"
"143","CAV2"
"144","NLGN4X"
"145","SELENOM"
"146","MYOF"
"147","TNS3"
"148","SPATS2L"
"149","TSPO"
"150","MIA"
"151","CXXC4"
"152","CAVIN3"
"153","TTLL7"
"154","CREB3L2"
"155","MGST1"
"156","FRZB"
"157","TFF3"
"158","PLD3"
"159","SELENOW"
"160","SOX6"
"161","EMP3"
"162","EMP2"
"163","TPI1"
"164","GPC1"
"165","PLEKHH2"
"166","TMED9"
"167","PMP22"
"168","LAMC1"
"169","CDH2"
"170","CYBA"
"171","DDIT4"
"172","EPCAM"
"173","FSTL1"
